source,target,weight
1190331982359810048,278549435,1
1191141403,1244375610488733698,1
1191690231902298112,274100855,1
1191690231902298112,278549435,1
1192142544425099269,16585184,1
1192898291010281472,247179686,1
1193178170,278549435,2
119461406,237670274,1
119461406,282168818,2
119531368,247179686,1
1195637710125445121,1211703130003427328,3
1195637710125445121,291185646,1
1197423263716167681,1083576115740987392,1
1197423263716167681,1159281082916900864,1
1197423263716167681,1259102477863063557,1
1197423263716167681,20749615,1
1197423263716167681,21200697,1
1197423263716167681,2269891668,1
1197423263716167681,247179686,8
1197423263716167681,278549435,13
1197423263716167681,29547609,1
1197423263716167681,322663133,1
1197423263716167681,3818261897,1
1197423263716167681,42507219,1
1197423263716167681,49108112,1
1197423263716167681,744551780420296704,1
1197423263716167681,766487227,1
1198057734261891072,237670274,1
1198057734261891072,278549435,1
119835440,291185646,1
1199189118628093954,1114535751277076480,2
1199189118628093954,1229520987030462464,1
1199189118628093954,14132591,1
1199189118628093954,247179686,32
1199189118628093954,278549435,5
1199189118628093954,291185646,8
1199189118628093954,354188080,1
1199189118628093954,822180013340553216,2
1199189118628093954,963754316,2
1199519335632580609,247179686,2
1199519335632580609,278549435,2
1199519335632580609,291185646,1
1199519335632580609,798972081669111808,2
1200017887114735617,282168818,1
1200039398227824640,1198681378335920130,1
1200039398227824640,14132591,1
1200039398227824640,19583097,1
1200039398227824640,19617111,1
1200039398227824640,2195550221,1
1200039398227824640,224589396,1
1200039398227824640,282168818,1
1200039398227824640,385094538,1
1200039398227824640,419532697,1
1200039398227824640,700639239889821696,1
1200039398227824640,731479469681152000,1
1200170152832176135,291185646,2
1200889910019928065,282168818,1
1201665589665767424,1546656000,1
120215480,1069543874,1
120215480,247179686,1
120215480,278549435,1
120215480,970705978130882560,1
1205569130721660935,247179686,2
1205569130721660935,278549435,1
1205569130721660935,291185646,4
1206199576820142080,282168818,2
1207131885945655296,247179686,3
1207131885945655296,939010904,1
1208081690012377089,1186289240809844743,2
1208081690012377089,278549435,3
1208081690012377089,60402504,2
1208812573581332480,247179686,1
1210504307566678017,247179686,2
1210597000833642496,939010904,1
1211026587082035200,1243332345228333056,1
1211034822287581184,1131234343941132288,1
1211703130003427328,247179686,40
1211703130003427328,278549435,9
1211703130003427328,291185646,1
1211703130003427328,52422673,1
1211703130003427328,784491300,1
1212369224624001024,1041086730,1
1212369224624001024,1161896907507060736,2
1212369224624001024,158378488,2
1212369224624001024,237670274,5
1212369224624001024,582162329,1
1212369224624001024,966366763452649475,2
1212406013619363842,1093065573477552128,1
1213094407601180677,1069488029004267520,1
1213804140108767232,17793580,1
1213804140108767232,247179686,1
1213804140108767232,291185646,1
1213804140108767232,49108112,1
1213978394582405121,4847901676,2
1214887924115873794,1114535751277076480,1
1214887924115873794,17229809,1
1214887924115873794,247179686,11
1214887924115873794,278549435,2
1214887924115873794,291185646,1
1214887924115873794,29627772,1
1214887924115873794,49108112,2
1214887924115873794,512603747,3
1214887924115873794,52422673,1
1214887924115873794,887700723718344706,1
1214887924115873794,949184990369255425,1
1215007511004270592,1091748472628408320,1
1215030213282799618,247179686,1
1215030213282799618,278549435,1
1215030213282799618,291185646,3
1215636436529053699,247179686,1
1217947001184313344,237670274,1
1218634716594757634,278549435,1
1220010762242068483,291185646,1
1220135285985566720,278549435,1
1220252185,291185646,2
1220554693920927744,237670274,1
1221216901566795777,278549435,1
1222983806673727490,1186289240809844743,1
1222983806673727490,278549435,2
1222983806673727490,60402504,2
1223045178103037955,237670274,1
1223981473168076806,247179686,1
1228426713362817027,282168818,1
1228426713362817027,960669849415487489,1
122947543,247179686,1
1229520987030462464,1086810983316799490,6
1229520987030462464,1107793013626101760,3
1229520987030462464,1131234343941132288,1
1229520987030462464,1596129823,1
1229520987030462464,247179686,1
1229520987030462464,278549435,2
1229520987030462464,282168818,4
1229520987030462464,291185646,1
1229520987030462464,3327887445,1
1229520987030462464,3373993738,1
1229520987030462464,350280356,1
1229520987030462464,571527485,2
1229520987030462464,739547151617904640,2
1229520987030462464,848268580852563968,1
1229696791,1116793431144181761,1
1229696791,1241307294148825093,1
1229696791,145194028,1
1229696791,18916001,1
1229696791,19344678,1
1229696791,22017875,1
1229696791,235205460,1
1229696791,247179686,20
1229696791,263055971,1
1229696791,278549435,3
1229696791,291185646,3
1229696791,2957406928,1
1229696791,3350715784,1
1229696791,354188080,1
1229696791,366177469,1
1229696791,4847901676,1
1229696791,536360107,1
1229696791,725052515256025089,1
1229696791,844440944,1
1229696791,885156348379451393,1
1229881658746249223,871473462606475265,1
1230373737691783169,1186289240809844743,1
1230373737691783169,278549435,2
1230373737691783169,60402504,2
1233022883271565312,278549435,1
1233329126209138688,247179686,1
123358870,247179686,1
1233858385344331781,14132591,1
1234530057948946434,247179686,1
1235671070876798976,282168818,1
1237948435082469377,19344678,1
1237948435082469377,247179686,2
1237948435082469377,278549435,1
1237948435082469377,291185646,2
1237948435082469377,3350715784,1
1239250068085125121,1229696791,1
1239250068085125121,247179686,2
1239250068085125121,263055971,1
1241089901866684418,1214887924115873794,1
1241089901866684418,247179686,3
1241089901866684418,278549435,3
1241089901866684418,282168818,1
1241089901866684418,291185646,2
1241089901866684418,2963973530,1
1241089901866684418,3350715784,1
1241089901866684418,897169813029736449,5
1241268801460523008,247179686,1
1241268801460523008,2755647857,1
1241268801460523008,278549435,1
1241375085509967872,1161896907507060736,1
1241375085509967872,237670274,1
1241400973077159936,25073877,1
1241434660619649027,6715202,1
1241438455743369219,247179686,2
1241438455743369219,278549435,2
1241438455743369219,291185646,1
1241440379976716290,247179686,5
1241453209396396033,247179686,4
1241453209396396033,278549435,2
1241453209396396033,291185646,1
1241453209396396033,8241252,1
1241453209396396033,885145239492714496,1
1241466518178869249,1546656000,1
1241467862784651265,1241433581307613185,1
1241467862784651265,1244375610488733698,1
1241467862784651265,14132591,1
1241467862784651265,21329773,1
1241467862784651265,224589396,1
1241467862784651265,2269891668,1
1241467862784651265,247179686,2
1241467862784651265,278549435,9
1241467862784651265,282168818,4
1241467862784651265,291185646,15
1241467862784651265,3327887445,1
1241467862784651265,895679266964340736,1
1241474478409998336,247179686,25
1241474478409998336,278549435,4
1241474478409998336,52422673,1
1241538763462828032,19344678,1
1241538763462828032,247179686,1
1241538763462828032,278549435,1
1241538763462828032,291185646,1
1241538763462828032,3350715784,1
1242590733967605760,278549435,1
1243104176315478016,291185646,1
1243183776798294017,247179686,6
1243183776798294017,278549435,2
1243183776798294017,291185646,1
1243215413506445316,278549435,1
1244050240648417281,1026161281127116800,1
1244050240648417281,571527485,1
1244153371541544960,282168818,3
1244330086863482880,1241433581307613185,1
1244330086863482880,14132591,1
1244330086863482880,180505807,2
1244330086863482880,237670274,1
1244330086863482880,2425151,1
1244330086863482880,247179686,3
1244330086863482880,278549435,1
1244330086863482880,282168818,1
1244330086863482880,291185646,1
1244330086863482880,391542531,3
1244330086863482880,436793511,1
1244330086863482880,818695225220726787,1
1244375610488733698,282168818,1
1244375610488733698,912040162003169280,1
124444196,201194145,1
1244462008495493121,247179686,3
1244462008495493121,278549435,3
1244464149385678850,55116487,1
1244492996470439936,247179686,3
1244492996470439936,943290348,1
1244566034205589506,247179686,1
1244566034205589506,754493854561275904,1
1244677059512872961,4847901676,1
1244687282663194626,247179686,1
1244697124710875136,1241307294148825093,1
1244697124710875136,1242948664110321664,1
1244697124710875136,247179686,13
1244697124710875136,278549435,1
1245047917674725376,247179686,2
1245047917674725376,278549435,1
1245372518535434241,4847901676,1
1245483836600987648,247179686,1
1245803299154153472,1132712040072663048,1
1245803299154153472,1244224874907869185,2
1245803299154153472,145437352,1
1245803299154153472,19344678,1
1245803299154153472,22832379,1
1245803299154153472,247179686,32
1245803299154153472,278549435,12
1245803299154153472,282168818,3
1245803299154153472,291185646,7
1245803299154153472,3350715784,1
1245803299154153472,350496295,2
1245803299154153472,76187247,1
1246019484491689984,278549435,1
1246133840881614851,247179686,2
1246133840881614851,278549435,1
1246676884840239104,282168818,1
1247126326588432384,291185646,1
1247139926556229632,278549435,1
1247139926556229632,282168818,1
1247608932379607046,278549435,1
1248282066740867072,150248263,1
1248304756851986434,247179686,3
1248726566525419520,278549435,1
1248726566525419520,291185646,1
1248954944423673858,919686119222104065,1
1249874684570673155,1086810983316799490,1
1249874684570673155,1107793013626101760,1
1249874684570673155,291185646,1
1249874684570673155,3131146787,1
1249874684570673155,739547151617904640,1
1249874684570673155,771890994,1
1250140475803283457,247179686,2
1250140475803283457,278549435,1
1250140475803283457,291185646,1
1250454902008164352,237670274,1
1250454902008164352,247179686,15
1250454902008164352,278549435,1
1250454902008164352,291185646,1
1250454902008164352,4242666244,1
1250504154826432513,278549435,1
1251432260328357890,247179686,1
1251432260328357890,754493854561275904,1
1251432260328357890,794284128686534656,1
1251482894964592642,1251482894964592642,2
1251482894964592642,14132591,3
1251482894964592642,224589396,1
1251482894964592642,247179686,90
1251482894964592642,278549435,15
1251482894964592642,290179649,1
1251482894964592642,291185646,23
1251482894964592642,436793511,1
1251482894964592642,52422673,1
1251482894964592642,845984788569870336,1
1251643555325468672,1053339056724172800,1
1251643555325468672,1131234343941132288,1
1251643555325468672,1241474478409998336,1
1251643555325468672,15173851,1
1251643555325468672,247179686,5
1251643555325468672,2708805151,1
1251643555325468672,278549435,2
1251643555325468672,291185646,1
1251643555325468672,571527485,1
1251643555325468672,725757744255516672,1
1251643555325468672,739547151617904640,1
1251643555325468672,74835605,1
1251643555325468672,822180013340553216,1
1251643555325468672,866410626633093120,1
1251791221544099843,247179686,1
1251791221544099843,278549435,1
1251791221544099843,291185646,1
1251839985965244417,278549435,2
1251935394733711362,278549435,2
1252688569531015171,1156934026558615552,1
1252688569531015171,1156948202265989123,1
1252688569531015171,1157018340243726337,1
1252688569531015171,1252688569531015171,1
1252688569531015171,409681619,1
1252688569531015171,806117142475264000,1
1252688569531015171,939537033621659648,1
1253592863314763777,247179686,2
1253592863314763777,278549435,2
1254278150671851521,247179686,1
1254384492829011971,1259102477863063557,1
1254384492829011971,278549435,1
1255136601794949120,1026161281127116800,3
1255136601794949120,1086810983316799490,6
1255136601794949120,1107793013626101760,1
1255136601794949120,278549435,1
1255136601794949120,291185646,1
1255136601794949120,350280356,1
1255136601794949120,739547151617904640,1
1255517368433991683,278549435,1
1255817168303927302,1147672322423308288,1
1255817168303927302,1179883777402789888,1
1255817168303927302,1255817168303927302,1
1255909107783077888,247179686,1
1256437104927703042,237670274,1
1257658069426876421,247179686,2
1257658069426876421,278549435,1
1257658069426876421,282168818,3
1258887298902634502,1169715278613229568,1
1258887298902634502,1259102477863063557,2
1258887298902634502,144667002,1
1258887298902634502,235205460,2
1258887298902634502,278549435,3
1258887298902634502,482773070,1
